"","ACCNUM","YEAR","DATE","TIME","Hour","STREET1","STREET2","OFFSET","ROAD_CLASS","District","WardNum","Division","LATITUDE","LONGITUDE","LOCCOORD","ACCLOC","TRAFFCTL","VISIBILITY","LIGHT","RDSFCOND","IMPACTYPE","FATAL_NO","PEDESTRIAN","CYCLIST","AUTOMOBILE","MOTORCYCLE","TRUCK","TRSN_CITY_","EMERG_VEH","PASSENGER","SPEEDING","AG_DRIV","REDLIGHT","ALCOHOL","DISABILITY","Hood_ID","Neighbourh","DRIV_TRAFFIC_VIOLATION","DRIV_AGGRO","DRIV_SPEED","DRIV_DISTRACT","DRIV_AlCOHOL","BIC_TRAFFIC_VIOLATION","BIC_AGGRO","BIC_SPEED","BIC_LOSS_CTRL","BIC_ALCOHOL","BIC_DISTRACT","BIC_DRUGS","BIC_DISABILITY","BIC_FATIGUE","PED_TRAFFIC_VIOLATION","PED_STNARY","PED_CROSSING","VEH_TURNING","VEH_STATIONARY","VEH_LANE_CHG","VEH_INIT_OR_STOP","pressure_station","wind_speed","relative_humidity","temperature","visibility_value","DRIVERS_ALL_cnt","PASSENGER_cnt","PEDESTRIAN_cnt","CYCLIST_cnt","BIC_INJURY_MAJOR_FATAL","BIC_INJURY_FATAL","BIC_INJURY_other","ROAD_WET","TRAFFIC_CNTRL","VIS_NOT_CLEAR","AGE_REF_CODE","BIC_AGE","BIC_ACTN_FORWARD","BIC_ACTN_TURN_U","BIC_ACTN_TURN_LEFT","BIC_ACTN_TURN_Right","BIC_ACTN_STOPPED","BIC_ACTN_OTHER","WARD_1","WARD_2","WARD_3","WARD_4","WARD_5","WARD_6","WARD_7","WARD_8","WARD_9","WARD_10","WARD_11","WARD_12","WARD_13","WARD_14","WARD_15","WARD_16","WARD_17","WARD_18","WARD_19","WARD_20","WARD_21","WARD_22","WARD_23","WARD_24","WARD_25"
"1",1025421,2008,2008-01-26,1400,14,"79 BLOOR ST W"," "," ","Major Arterial","Toronto and East York","11","53,52",43.669543,-79.389987,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Pedestrian Collisions",0,1,1,0,0,0,0,0,0,0,0,0,0,NA,76,"Bay Street Corridor (76)",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,99.82,11,77,-4.8,4800,0,0,1,1,0,0,1,0,0,0,0,"unknown",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1029220,2008,2008-03-19,1300,13,"QUEEN ST W","NIAGARA ST"," ","Major Arterial","Toronto and East York","10","14",43.645945,-79.40989,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,82,"Niagara (82)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.31,26,86,2.6,24100,1,0,0,1,1,0,0,0,1,0,8,"35 to 39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1036978,2008,2008-04-21,800,8,"BLOOR ST W","OLD MILL TER"," ","Major Arterial","Etobicoke York","3","22",43.649645,-79.49539,"Intersection"," ","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,15,"Kingsway South (15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.2,11,75,13.6,24100,1,0,0,1,1,0,0,0,1,0,5,"20 to 24",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1037840,2008,2008-04-28,1700,17,"HAVELOCK Stre","DEWSON Stre"," ","Collector","Toronto and East York","9","14",43.655545,-79.43049,"Intersection","At Intersection","Stop Sign","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,83,"Dufferin Grove (83)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.9,33,73,5.9,24100,1,0,0,1,1,0,0,0,1,0,13,"60 to 64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1039230,2008,2008-05-07,1700,17,"COLLEGE ST","RUSHOLME RD"," ","Major Arterial","Toronto and East York","9","14",43.653245,-79.42819,"Intersection","At Intersection","No Control","Rain","Daylight","Wet","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,83,"Dufferin Grove (83)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.37,13,81,11.3,6400,1,0,0,1,1,0,0,1,0,1,5,"20 to 24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1039584,2008,2008-05-22,1300,13,"EGLINTON AVE W","ELMSTHORPE AVE"," ","Major Arterial","Toronto and East York","12,8","53",43.704245,-79.41029,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",20,0,1,1,0,0,0,0,0,0,0,0,0,NA,103,"Lawrence Park South (103)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,98.56,32,53,12.2,24100,2,0,0,1,1,1,0,0,0,0,12,"55 to 59",1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1040428,2008,2008-05-28,800,8,"PARLIAMENT St","LAKE SHORE Blvd E"," ","Minor Arterial","Toronto and East York","10","51",43.648645,-79.36149,"Mid-Block","At Intersection","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,77,"Waterfront Communities-The Island (77)",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.76,15,66,7.4,24100,1,0,0,1,1,0,0,0,0,0,5,"20 to 24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1042268,2008,2008-05-24,1200,12,"CHRISTIE ST","LAMBERTLODGE AVE"," ","Minor Arterial","Toronto and East York","12","13",43.673845,-79.42239,"Intersection","At Intersection","Stop Sign","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,94,"Wychwood (94)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.94,24,45,16.1,24100,1,0,0,1,1,0,0,0,1,0,8,"35 to 39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1042286,2008,2008-05-15,1900,19,"WOBURN AVE","GREY RD"," ","Collector","North York","8","32",43.724845,-79.41979,"Intersection","At Intersection","Stop Sign","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,39,"Bedford Park-Nortown (39)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.58,15,44,15.4,24100,1,0,0,1,1,0,0,0,1,0,8,"35 to 39",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1044518,2008,2008-06-15,200,2,"DUNDAS ST W","RONCESVALLES AVE"," ","Minor Arterial","Toronto and East York","4","11",43.653645,-79.45139,"Mid-Block"," ","No Control","Clear","Dark","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,86,"Roncesvalles (86)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.22,0,65,18.6,24100,1,0,0,1,1,0,0,0,0,0,8,"35 to 39",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
