"","Index_","ACCNUM","YEAR","DATE","TIME","Hour","STREET1","STREET2","OFFSET","ROAD_CLASS","District","WardNum","Division","LATITUDE","LONGITUDE","LOCCOORD","ACCLOC","TRAFFCTL","VISIBILITY","LIGHT","RDSFCOND","ACCLASS","IMPACTYPE","INVTYPE","INVAGE","INJURY","FATAL_NO","INITDIR","VEHTYPE","MANOEUVER","DRIVACT","DRIVCOND","PEDTYPE","PEDACT","PEDCOND","CYCLISTYPE","CYCACT","CYCCOND","PEDESTRIAN","CYCLIST","AUTOMOBILE","MOTORCYCLE","TRUCK","TRSN_CITY_","EMERG_VEH","PASSENGER","SPEEDING","AG_DRIV","REDLIGHT","ALCOHOL","Hood_ID","Neighbourh","ObjectId","isFATAL","pressure_station","wind_speed","relative_humidity","temperature","visibility_value"
"1",6915779,1266407,2011,2011-11-27,0,0,"DUNERA Aven","EMCARR Driv"," ","Local","Scarborough","24","43",43.757145,-79.19569,"Intersection","At Intersection","Stop Sign","Rain","Dark","Wet","Non-Fatal Injury","Cyclist Collisions","Vehicle Owner","unknown","None",0," ","Other","Other"," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,136,"West Hill (136)",1,0,99.39,11,67,12.8,24100
"2",6915780,1266407,2011,2011-11-27,0,0,"DUNERA Aven","EMCARR Driv"," ","Local","Scarborough","24","43",43.757145,-79.19569,"Intersection","At Intersection","Stop Sign","Rain","Dark","Wet","Non-Fatal Injury","Cyclist Collisions","Driver","30 to 34","None",0,"West","Automobile, Station Wagon","Going Ahead"," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,136,"West Hill (136)",2,0,99.39,11,67,12.8,24100
"3",6915781,1266407,2011,2011-11-27,0,0,"DUNERA Aven","EMCARR Driv"," ","Local","Scarborough","24","43",43.757145,-79.19569,"Intersection","At Intersection","Stop Sign","Rain","Dark","Wet","Non-Fatal Injury","Cyclist Collisions","Cyclist","50 to 54","Major",0,"South","Bicycle","Turning Left"," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,136,"West Hill (136)",3,0,99.39,11,67,12.8,24100
"4",80240055,5000901118,2015,2015-05-30,0,0,"DUNDAS ST W","EDNA AVE","2 m North of","Minor Arterial","Toronto and East York","4","11",43.657214,-79.45267,"Intersection","At Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","50 to 54","Major",0,"West","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Failed to Yield Right of Way","Normal",0,1,1,0,0,0,0,0,0,0,0,0,88,"High Park North (88)",4,0,99.59,8,67,16.9,24100
"5",80240056,5000901118,2015,2015-05-30,0,0,"DUNDAS ST W","EDNA AVE","2 m North of","Minor Arterial","Toronto and East York","4","11",43.657214,-79.45267,"Intersection","At Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","40 to 44","None",0,"North","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,88,"High Park North (88)",5,0,99.59,8,67,16.9,24100
"6",80158381,4001953344,2014,2014-04-25,0,0,"DUNDAS ST W","GLADSTONE AVE"," ","Minor Arterial","Toronto and East York","9","14",43.649573,-79.429813,"Intersection","Non Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","40 to 44","Minimal",0,"East","Automobile, Station Wagon","Making U Turn","Improper Turn","Inattentive"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,84,"Little Portugal (84)",6,0,99.58,4,32,7.8,24100
"7",80158382,4001953344,2014,2014-04-25,0,0,"DUNDAS ST W","GLADSTONE AVE"," ","Minor Arterial","Toronto and East York","9","14",43.649573,-79.429813,"Intersection","Non Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","35 to 39","Major",0,"West","Bicycle","Going Ahead"," "," "," "," "," ","Motorist makes u-turn in-front of cyclist.","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,0,0,0,84,"Little Portugal (84)",7,0,99.58,4,32,7.8,24100
"8",5865362,1124459,2009,2009-08-10,0,0,"FINCH Aven E","DON MILLS Road"," ","Major Arterial","North York","17","33",43.792645,-79.35469,"Intersection","At Intersection","Traffic Signal","Clear","Dark","Wet","Non-Fatal Injury","Cyclist Collisions","Vehicle Owner","unknown"," ",0," ","Other"," "," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,47,"Don Valley Village (47)",8,0,99.07,7,89,22.3,24100
"9",5865363,1124459,2009,2009-08-10,0,0,"FINCH Aven E","DON MILLS Road"," ","Major Arterial","North York","17","33",43.792645,-79.35469,"Intersection","At Intersection","Traffic Signal","Clear","Dark","Wet","Non-Fatal Injury","Cyclist Collisions","Driver","45 to 49","None",0,"East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,47,"Don Valley Village (47)",9,0,99.07,7,89,22.3,24100
"10",5865364,1124459,2009,2009-08-10,0,0,"FINCH Aven E","DON MILLS Road"," ","Major Arterial","North York","17","33",43.792645,-79.35469,"Intersection","At Intersection","Traffic Signal","Clear","Dark","Wet","Non-Fatal Injury","Cyclist Collisions","Cyclist","25 to 29","Major",0,"North","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Disobeyed Traffic Control","Had Been Drinking",0,1,1,0,0,0,0,0,0,0,0,0,47,"Don Valley Village (47)",10,0,99.07,7,89,22.3,24100
